Car;Link;Price (RUR);Year
Audi A3 III (8V)1.4 л / 122 л.с. / Бензинмеханикахэтчбек 5 дв.переднийчёрный;https://auto.ru/cars/used/sale/audi/a3/1120664506-e9d3ad05/;1680000;2015
Audi A3 III (8V)1.6 л / 105 л.с. / Дизельроботседанпереднийкрасный;https://auto.ru/cars/used/sale/audi/a3/1120494715-02d547e5/;1490000;2015
Audi A3 III (8V)1.6 л / 110 л.с. / Дизельроботседанпереднийсеребристый;https://auto.ru/cars/used/sale/audi/a3/1120370151-8bda95a5/;1560000;2015
Audi A3 III (8V)1.6 л / 110 л.с. / Дизельроботседанпереднийсеребристый;https://auto.ru/cars/used/sale/audi/a3/1120924290-111cae0c/;2200000;2015
Audi A3 III (8V)1.4 л / 125 л.с. / Бензинроботседанпереднийбелый;https://auto.ru/cars/used/sale/audi/a3/1116814217-ea06daf1/;1520000;2015
Audi A3 III (8V)2.0 л / 150 л.с. / Дизельмеханикаседанполныйчёрный;https://auto.ru/cars/used/sale/audi/a3/1120864416-4bc35093/;1330000;2015
Audi A3 III (8V)1.6 л / 110 л.с. / Дизельмеханикаседанпереднийчёрный;https://auto.ru/cars/used/sale/audi/a3/1120806571-2d204602/;1520000;2015
Audi A3 ultra III (8V)1.4 л / 150 л.с. / Бензинроботседанпереднийкрасный;https://auto.ru/cars/used/sale/audi/a3/1120449486-9c87c485/;1400000;2015
Audi A3 III (8V)1.6 л / 110 л.с. / Дизельроботседанпереднийчёрный;https://auto.ru/cars/used/sale/audi/a3/1115938213-8918e92c/;2960000;2015
Audi A3 III (8V)1.2 л / 110 л.с. / Бензинроботхэтчбек 5 дв.переднийчёрный;https://auto.ru/cars/used/sale/audi/a3/1120347548-85c8c423/;1910000;2015
Audi A3 III (8V)2.0 л / 184 л.с. / Дизельмеханикаседанпереднийчёрный;https://auto.ru/cars/used/sale/audi/a3/1120614737-aef5e17c/;1660000;2015
Audi A3 III (8V)1.4 л / 125 л.с. / Бензинроботседанпереднийбелый;https://auto.ru/cars/used/sale/audi/a3/1117565937-925ae2ca/;1820000;2015
Audi A3 III (8V)2.0 л / 150 л.с. / Дизельмеханикахэтчбек 3 дв.полныйсиний;https://auto.ru/cars/used/sale/audi/a3/1120972201-7d3d524a/;1410000;2014
Audi A3 III (8V)1.4 л / 140 л.с. / Бензинроботхэтчбек 5 дв.переднийсиний;https://auto.ru/cars/used/sale/audi/a3/1120742471-2e74fbd3/;1290000;2014
